# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 2a5f05d4e2e9c6190ef6c6d28ff9f032d06d6e15c8d1d03d429d0cb72dda5140
# retrieved: 2026-08-21T03:15:49Z
iata,ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region,municipality,scheduled_service
AEO,GQNA,small_airport,Aioun el Atrouss Airport,16.711300,-9.637880,MR,MR-02,Aioun El Atrouss,no
AEP,SABE,large_airport,Aeroparque Jorge Newbery,-34.559419,-58.415536,AR,AR-C,Buenos Aires,yes
AEQ,AEQ,small_airport,Ar Horqin Airport,43.908407,120.150990,CN,CN-15,Chifeng,no
AER,URSS,large_airport,Sochi International Airport,43.449902,39.956600,RU,RU-KDA,Sochi,yes
AES,ENAL,large_airport,Ålesund Airport,62.560443,6.110845,NO,NO-15,Ålesund,yes
AET,PFAL,small_airport,Allakaket Airport,66.551804,-152.621994,US,US-AK,Allakaket,yes
AEU,OIBA,medium_airport,Abu Musa Island Airport,25.875700,55.033001,IR,IR-22,Abu Musa,yes
AEX,KAEX,medium_airport,Alexandria International Airport,31.325828,-92.546702,US,US-LA,Alexandria,yes
AEY,BIAR,large_airport,Akureyri International Airport,65.656573,-18.072018,IS,IS-6,Akureyri,yes
AFA,SAMR,medium_airport,Suboficial Ay Santiago Germano Airport,-34.588299,-68.403900,AR,AR-M,San Rafael,yes
AFD,FAPA,small_airport,Port Alfred Airport,-33.555057,26.881656,ZA,ZA-EC,Port Alfred,no
AFF,KAFF,small_airport,USAF Academy Airfield,38.972497,-104.821125,US,US-CO,Colorado Springs,no
AFI,SKAM,small_airport,Amalfi Airport,6.895033,-75.047334,CO,CO-ANT,Amalfi,no
AFK,AFK,seaplane_base,Kondavattavana Tank Seaplane Base,7.284000,81.644000,LK,LK-5,Ampara,no
AFL,SBAT,medium_airport,Piloto Osvaldo Marques Dias Airport,-9.866389,-56.106298,BR,BR-MT,Alta Floresta,yes
AFN,KAFN,small_airport,Jaffrey Airfield Silver Ranch Airport,42.805099,-72.002998,US,US-NH,Jaffrey,no
AFO,KAFO,small_airport,Afton Municipal Airport,42.711201,-110.942001,US,US-WY,Afton,no
